name,type,area,mandal,pincode,phone,email,services,best_for,remarks,reviews,type_doc,area_doc,pincode_doc,phone_doc,chief_doctor_name,doctor_department,available_specialists,services_doc,google_maps_link
Government General Hospital (GGH),Government Hospital,Hanumanpet / MG Road,Vijayawada Urban,520003,0866-2452244,,Emergency;Trauma;General Medicine;Surgery;ICU,Serious;Accident;Trauma,"Major government hospital, emergency & critical care",Good emergency response but heavy rush,,,,,,,,,
New Government Hospital (NGH),Government Hospital,Gunadala,Vijayawada Urban,520004,0866-2470100,,General Medicine;Maternity;OPD,General;Fever;Maternity,General govt hospital,"Decent service, long waiting times",,,,,,,,,
Vijayawada Government Dental Hospital,Government Hospital,Governorpet,Vijayawada Urban,520002,,,Dental,Dental issues,Dental govt hospital,"Affordable, good dental care",,,,,,,,,
UPHC Ajit Singh Nagar,UPHC,Ajit Singh Nagar,Vijayawada Urban,520015,,,Primary Care;Fever;Immunization,Minor ailments;Fever,Urban Primary Health Centre,"Basic treatment, helpful staff",,,,,,,,,
UPHC Payakapuram,UPHC,Payakapuram,Vijayawada Urban,520012,,,Primary Care;Fever;Immunization,Minor ailments;Fever,Urban Primary Health Centre,Quick fever treatment,,,,,,,,,
UPHC Gunadala,UPHC,Gunadala,Vijayawada Urban,520004,,,Primary Care;Fever;Immunization,Minor ailments;Fever,Urban Primary Health Centre,Clean and fast service,,,,,,,,,
UPHC Moghalrajpuram,UPHC,Moghalrajpuram,Vijayawada Urban,520010,,,Primary Care;Fever;NCD screening,Minor ailments;Fever,Urban Primary Health Centre,Good for basic checkups,,,,,,,,,
UPHC Satyanarayanapuram,UPHC,Satyanarayanapuram,Vijayawada Urban,520011,,,Primary Care;Maternal Health;Fever,Minor ailments;Maternity;Fever,Urban Primary Health Centre,Friendly staff,,,,,,,,,
UPHC Gandhi Nagar,UPHC,Gandhi Nagar,Vijayawada Urban,520003,,,Primary Care;Fever;Immunization,Minor ailments;Fever,Urban Primary Health Centre,Quick service,,,,,,,,,
UPHC Governorpet,UPHC,Governorpet,Vijayawada Urban,520002,,,Primary Care;Fever;OPD,Minor ailments;Fever,Urban Primary Health Centre,Good outpatient care,,,,,,,,,
UPHC Bhavanipuram,UPHC,Bhavanipuram,Vijayawada Urban,520012,,,Primary Care;Fever;NCD screening,Minor ailments;Fever,Urban Primary Health Centre,Timely treatment,,,,,,,,,
UPHC Vidyadharapuram,UPHC,Vidyadharapuram,Vijayawada Urban,520012,,,Primary Care;Fever;Immunization,Minor ailments;Fever,Urban Primary Health Centre,Neat & clean clinic,,,,,,,,,
UPHC Krishna Lanka,UPHC,Krishna Lanka,Vijayawada Urban,520013,,,Primary Care;Fever;OPD,Minor ailments;Fever,Urban Primary Health Centre,Helpful doctors,,,,,,,,,
UPHC Kandrika,UPHC,Kandrika,Vijayawada Urban,520015,,,Primary Care;Fever,Minor ailments;Fever,Urban Primary Health Centre,Fast service,,,,,,,,,
UPHC Rajarajeswaripet,UPHC,Rajarajeswaripet,Vijayawada Urban,520015,,,Primary Care;Fever,Minor ailments;Fever,Urban Primary Health Centre,Basic services provided,,,,,,,,,
